Input,Table,Output
What is the address of the customer with the highest number of purchases?,id name address customer_id product_id quantity price ,0
What is the phone number of the employee with ID 123?,id name phone ,1
What is the name of the customer who made a purchase of a certain product on a certain date?,id name customer_id product_id quantity price sale_date ,1
What is the email address of the employee with the highest sales?,id name email employee_id product_id quantity sale_date ,0
What is the name of the department with the highest revenue?,id name department_id revenue ,1
What is the balance of the customer's account with the highest number of purchases?,id name balance customer_id product_id quantity price ,0
What is the name of the employee with the lowest salary?,id name salary ,1
What is the name of the customer who made a purchase on a certain date with the highest feedback score?,id name customer_id product_id quantity price sale_date feedback_score ,0
What is the total revenue generated by the company in the last year in a certain region?,id name region product_id quantity price sale_date ,1
What is the name of the product with the lowest cost?,id name product_id cost ,1
What is the name of the customer who made the largest purchase of a certain product?,id name customer_id product_id quantity price ,1
What is the name of the employee who made the most sales in a certain region?,id name employee_id product_id quantity price region ,1
What is the name of the customer who made the most purchases in a certain region?,id name customer_id product_id quantity price region ,1
What is the average salary of employees in a certain department?,id name department_id salary ,1
What is the name of the employee who has the most customer complaints?,id name employee_id complaints ,0
What is the name of the product with the highest profit?,id name product_id cost price ,1
What is the name of the customer who made the largest purchase last month?,id name customer_id product_id quantity price sale_date ,1
What is the name of the employee who has the most sales with a certain product?,id name employee_id product_id quantity price ,1
What is the name of the employee who has been with the company the longest in a certain department?,id name hire_date department_id ,1
What is the email address of the customer with the highest feedback score?,id name email customer_id product_id quantity price feedback_score ,1
What is the name of the employee who made the most sales in the last quarter in a certain region?,id name employee_id product_id quantity price region sale_date ,1
What is the name of the customer who made the most purchases in the last month?,id name customer_id product_id quantity price sale_date ,1
What is the name of the product with the most sales in a certain region?,id name product_id quantity price region ,1
What is the name of the employee who received the most negative customer feedback?,id name employee_id feedback_score ,1
What is the balance of the customer's account with the most purchases?,id name balance customer_id product_id quantity price ,1
What is the name of the department with the most employees?,id name department_id ,1
What is the name of the employee who made the most sales with a certain product in a certain region?,id name employee_id product_id quantity price region ,1
What is the name of the customer who made a purchase of a certain product with the highest feedback score?,id name customer_id product_id quantity price feedback_score ,0
What is the email address of the employee with the highest salary?,id name email salary ,1
What is the name of the customer who made the largest purchase with a certain product on a certain date?,id name customer_id product_id quantity price sale_date ,1
What is the name of the employee who received the most positive customer feedback in a certain department?,id name employee_id feedback_score department_id ,1
What is the name of the customer who made a purchase of a certain product with the lowest feedback score?,id name customer_id product_id quantity price feedback_score ,0
What is the name of the product with the highest sales in a certain department?,id name product_id quantity price department_id ,1
What is the name of the customer who made the most purchases with a certain product in a certain department?,id name customer_id product_id quantity price department_id ,1
What is the name of the employee who made the most sales in the last year?,id name employee_id product_id quantity price sale_date ,1
What is the name of the employee who has the highest sales with a certain product in the last quarter?,id name employee_id product_id quantity price sale_date ,1
What is the phone number of the customer with the highest number of purchases in a certain department?,id name phone customer_id product_id quantity price department_id ,0
What is the name of the employee who has the highest sales with a certain product in a certain department in the last year?,id name employee_id product_id quantity price sale_date department_id ,1
What is the name of the customer who has the highest balance in a certain region?,id name customer_id balance region ,1
What is the email address of the employee with the most seniority in a certain department?,id name email hire_date department_id ,1
What is the name of the product with the lowest sales in the last quarter?,id name product_id quantity price sale_date ,1
What is the name of the department with the highest average salary?,id name department_id salary ,1
What is the name of the employee who has the highest sales with a certain product in a certain department in the last month?,id name employee_id product_id quantity price sale_date department_id ,1
What is the name of the customer who made the most purchases with a certain product in a certain region in the last year?,id name customer_id product_id quantity price region sale_date ,1
What is the name of the product with the highest sales in the last month in a certain region?,id name product_id quantity price region sale_date ,1
What is the name of the employee who received the most positive customer feedback in the last year in a certain department?,id name employee_id feedback_score department_id ,1
What is the name of the customer who made the most purchases with a certain product in a certain department in the last quarter?,id name customer_id product_id quantity price department_id sale_date ,1
What is the name of the employee who has the most sales with a certain product in a certain region in the last month?,id name employee_id product_id quantity price region sale_date ,1
What is the name of the product with the lowest sales in the last year?,id name product_id quantity price sale_date ,1
What is the name of the customer who made the most purchases with a certain product in the last month in a certain department?,id name customer_id product_id quantity price department_id sale_date ,1
What is the name of the employee who has the most sales in a certain region in the last year?,id name employee_id product_id quantity price region sale_date ,1
What is the phone number of the customer who has the highest balance in a certain department?,id name phone customer_id balance department_id ,0
What is the name of the employee who has the most sales with a certain product in a certain region in the last quarter?,id name employee_id product_id quantity price region sale_date ,1
What is the name of the customer who has the highest balance in a certain region?,id name customer_id balance region ,1
What is the email address of the employee with the most seniority in a certain region?,id name email hire_date region ,1
What is the name of the product with the lowest sales in the last month?,id name product_id quantity price sale_date ,1
What is the name of the department with the lowest average salary?,id name department_id salary ,1
What is the name of the employee who has the most sales with a certain product in a certain department in the last year?,id name employee_id product_id quantity price department_id sale_date ,1
What is the name of the customer who made the most purchases with a certain product in a certain region in the last quarter?,id name customer_id product_id quantity price region sale_date ,1
What is the name of the product with the highest sales in the last year in a certain department?,id name product_id quantity price department_id sale_date ,1
What is the name of the employee who received the most positive customer feedback in the last quarter in a certain department?,id name employee_id feedback_score department_id ,1
What is the name of the customer who made the most purchases with a certain product in the last year in a certain department?,id name customer_id product_id quantity price department_id sale_date ,1
What is the name of the employee who has the most sales with a certain product in a certain region in the last year?,id name employee_id product_id quantity price region sale_date ,1
What is the name of the product with the lowest sales in the last quarter?,id name product_id quantity price sale_date ,1
What is the name of the customer who made the most purchases with a certain product in the last quarter in a certain department?,id name customer_id product_id quantity price department_id sale_date ,1
What is the name of the employee who has the most sales in a certain department in the last quarter?,id name employee_id product_id quantity price department_id sale_date ,1
What is the phone number of the customer who has the highest balance in a certain region in the last year?,id name phone customer_id balance region sale_date ,1
What is the name of the employee who has the most sales with a certain product in a certain department in the last month?,id name employee_id product_id quantity price department_id sale_date ,1
What is the name of the customer who has the highest balance in a certain department?,id name customer_id balance department_id ,1
What is the email address of the employee with the most seniority in a certain department in the last year?,id name email hire_date department_id sale_date ,1
What is the name of the product with the highest sales in the last month in a certain department?,id name product_id quantity price department_id sale_date ,1
What is the name of the region with the highest total sales in the last year?,id name region sales_total sale_date ,1
What is the name of the employee who has the most sales with a certain product in a certain region in the last quarter?,id name employee_id product_id quantity price region sale_date ,1
What is the name of the customer who made the most purchases with a certain product in a certain department in the last year?,id name customer_id product_id quantity price department_id sale_date ,1
What is the name of the department with the highest average salary in the last quarter?,id name department_id salary sale_date ,1
What is the name of the employee who received the most positive customer feedback in a certain region in the last year?,id name employee_id feedback_score region sale_date ,1
What is the name of the customer who made the most purchases with a certain product in a certain region in the last quarter?,id name customer_id product_id quantity price region sale_date ,1
What is the name of the product with the highest sales in the last year in a certain region?,id name product_id quantity price region sale_date ,1
What is the name of the employee who has the most sales with a certain product in a certain department in the last year?,id name employee_id product_id quantity price department_id sale_date ,1
What is the name of the customer who made the most purchases with a certain product in a certain department in the last quarter?,id name customer_id product_id quantity price department_id sale_date ,1
What is the name of the employee who has the highest sales in a certain region in the last year?,id name employee_id product_id quantity price region sale_date ,1
What is the email address of the customer with the highest balance in a certain region in the last month?,id name email customer_id balance region sale_date ,1
What is the name of the employee who has the most sales with a certain product in a certain region in the last quarter?,id name employee_id product_id quantity price region sale_date ,1
What is the name of the customer who has the highest balance in a certain department in the last year?,id name customer_id balance department_id sale_date ,1
What is the phone number of the employee with the most seniority in a certain region in the last month?,id name phone employee_id hire_date region sale_date ,1
What is the name of the product with the lowest sales in the last quarter in a certain department?,id name product_id quantity price department_id sale_date ,1
What is the name of the region with the highest average sales in the last year?,id name region sales_average sale_date ,1
What is the name of the employee who has the most sales with a certain product in a certain department in the last month?,id name employee_id product_id quantity price department_id sale_date ,1
What is the name of the customer who made the most purchases with a certain product in a certain region in the last year?,id name customer_id product_id quantity price region sale_date ,1
What is the name of the department with the lowest total sales in the last quarter?,id name department_id sales_total sale_date ,1
What is the name of the employee who received the most positive customer feedback in a certain department in the last year?,id name employee_id feedback_score department_id sale_date ,1
What is the name of the customer who made the most purchases with a certain product in a certain department in the last month?,id name customer_id product_id quantity price department_id sale_date ,1
What is the name of the employee who has the most sales with a certain product in a certain region in the last year?,id name employee_id product_id quantity price region sale_date ,1
What is the name of the product with the highest sales in the last month in a certain region?,id name product_id quantity price region sale_date ,1
What is the name of the employee who has the most sales with a certain product in a certain department in the last year?,id name employee_id product_id quantity price department_id sale_date ,1
What is the email address of the customer with the highest balance in a certain department in the last month?,id name email customer_id balance department_id sale_date ,1
What is the name of the employee who has the most sales with a certain product in a certain region in the last month?,id name employee_id product_id quantity price region sale_date ,1
What is the name of the customer who has the highest balance in a certain region in the last year?,id name customer_id balance region sale_date ,1
What is the phone number of the employee with the most seniority in a certain department in the last year?,id name phone employee_id hire_date department_id sale_date ,1
What is the name of the product with the highest sales in the last quarter in a certain region?,id name product_id quantity price region sale_date ,1
What is the name of the region with the lowest total sales in the last year?,id name region sales_total sale_date ,1
What is the name of the employee who has the most sales with a certain product in a certain department in the last month?,id name employee_id product_id quantity price department_id sale_date ,1
What is the name of the customer who made the most purchases with a certain product in a certain department in the last year?,id name customer_id product_id quantity price department_id sale_date ,1
What is the name of the department with the highest total sales in the last quarter?,id name department_id sales_total sale_date ,1
What is the name of the employee who received the most positive customer feedback in a certain region in the last year?,id name employee_id feedback_score region sale_date ,1
What is the name of the customer who made the most purchases with a certain product in a certain region in the last quarter?,id name customer_id product_id quantity price region sale_date ,1
What is the name of the product with the lowest sales in the last year in a certain department?,id name product_id quantity price department_id sale_date ,1
What is the name of the employee who has the most sales with a certain product in a certain region in the last quarter?,id name employee_id product_id quantity price region sale_date ,1
What is the name and email of the customer who placed the most orders in the last month?,id name email customer_id order_date amount ,1
What is the phone number of the employee who has the most experience in a certain skill in the company?,id name phone_number employee_id skill experience ,1
What is the name and address of the supplier who provided the most products in the last quarter?,id name address supplier_id product_id quantity price quarter ,1
What is the name and email of the user who has the most likes on their posts in a certain group?,id name email user_id group_id post_id likes ,1
What is the name and address of the company with the highest revenue in the last year?,id name address company_id revenue year ,1
What is the name and phone number of the customer who made the most purchases in a certain category in the last month?,id name phone_number customer_id category_id purchases month ,1
What is the name and email of the user who has the most followers in a certain social media platform?,id name email user_id platform followers ,1
What is the name and department of the employee who has the highest performance rating in the last quarter?,id name employee_id department rating quarter ,1
What is the name and email of the customer who made the most returns in the last month?,id name email customer_id return_date amount ,1
What is the name and phone number of the employee who has the highest sales in the last year in a certain region?,id name phone_number employee_id region_id sales year ,1
What is the name and address of the company with the most employees in a certain industry?,id name address company_id industry_id employee_count ,1
What is the name and phone number of the customer who has the highest loyalty points in the last quarter?,id name phone_number customer_id loyalty_points quarter ,1
What is the name and email of the user who has the most views on their videos in a certain channel?,id name email user_id channel_id video_id views ,1
What is the name and department of the employee who has the most training hours in the last year?,id name employee_id department training_hours year ,1
What is the name and address of the supplier who provided the most products in a certain category in the last quarter?,id name address supplier_id category_id quantity price quarter ,1
What is the name of the student who scored the highest grade in a certain subject in the last semester?,id name student_id subject_id grade semester ,1
What is the salary of the employee who has the most working experience in a certain department in the last year?,id name employee_id salary hire_date department_id review_date ,1
What is the name of the customer who has the highest spending in a certain category in the last month?,id name customer_id category_id spending month ,1
What is the name of the employee who has the highest sales with a certain product in a certain city in the last quarter?,id name employee_id product_id quantity price city sale_date ,1
What is the name of the product with the highest sales in the last month in a certain category?,id name product_id category_id quantity price sale_date ,1
What is the name of the customer who made the most purchases in a certain store in the last year?,id name customer_id store_id purchases sale_date ,1
What is the name of the employee who has the highest sales with a certain product in the last quarter in a certain store?,id name employee_id product_id quantity price store_id sale_date ,1
What is the name of the department with the highest revenue in the last year?,id name department_id revenue sale_date ,1
What is the name of the customer who made the most purchases with a certain product in the last quarter in a certain store?,id name customer_id product_id quantity price store_id sale_date ,1
What is the name of the employee who has the most overtime hours in a certain department in the last month?,id name employee_id department_id overtime_hours month ,1
What is the name of the customer who spent the most money in a certain store in the last year?,id name customer_id store_id spending sale_date ,1
What is the name of the product with the lowest sales in the last quarter in a certain category?,id name product_id category_id quantity price sale_date ,1
What is the name of the employee who has the highest sales with a certain product in the last month in a certain store?,id name employee_id product_id quantity price store_id sale_date ,1
What is the name of the customer who made the most purchases with a certain product in the last year in a certain store?,id name customer_id product_id quantity price store_id sale_date ,1
What is the name of the employee who has the most sick days in a certain department in the last year?,id name employee_id department_id sick_days year ,1
What is the total revenue of a certain product in the last quarter?,id product_id quantity price sale_date ,1
What is the name of the student who has the most absences in a certain course in the last semester?,id name student_id course_id absence_count semester ,1
What is the name of the customer who made the most purchases in a certain category in the last month?,id name customer_id category_id purchase_count month ,1
What is the name of the employee who has the highest commission in a certain quarter in a certain region?,id name employee_id region_id commission quarter ,1
What is the name of the product with the lowest inventory level in a certain store?,id name product_id store_id inventory_level update_date ,1
What is the name of the customer who spent the most money in a certain category in the last year?,id name customer_id category_id spending year ,1
What is the name of the employee who has the highest sales in a certain product category in the last quarter in a certain region?,id name employee_id product_category_id sales_amount region_id quarter ,1
What is the name of the department with the most employees in a certain location?,id name department_id employee_id location_id ,1
What is the name of the customer who made the most purchases with a certain product in the last quarter in a certain region?,id name customer_id product_id purchase_count region_id quarter ,1
What is the name of the employee who has the most overtime hours in a certain department in the last year?,id name employee_id department_id overtime_hours year ,1
What is the name of the store with the highest sales in the last quarter in a certain region?,id name store_id region_id sales_amount quarter ,1
What is the name of the product with the highest profit margin in the last month in a certain store?,id name product_id store_id revenue cost sale_date ,1
What is the name of the customer who has the highest rating in a certain product category in the last year?,id name customer_id product_category_id rating year ,1
What is the name of the employee who has the most sick days in a certain department in the last quarter?,id name employee_id department_id sick_days quarter ,1
What is the name of the customer who spent the most money in a certain category in the last quarter in a certain store?,id name customer_id category_id spending store_id quarter ,1
What is the name of the department with the lowest budget in the last year?,id name department_id budget year ,1
What is the name and price of the most expensive product in the inventory?,id name price quantity category ,1
What is the address of the customer who purchased the highest amount in the last month?,id name address customer_id product_id amount purchase_date ,1
What is the name of the employee who has the most sales in a certain category in the last quarter?,id name employee_id category_id quantity price sale_date ,1
What is the name of the customer who made the most purchases with a certain product in the last month?,id name customer_id product_id quantity price sale_date ,1
What is the name of the employee who has the most overtime hours in the last year?,id name employee_id overtime_hours year ,1
What is the name of the department with the lowest revenue in the last quarter?,id name department_id revenue sale_date ,1
What is the name of the employee who has the most sick days in the last month in a certain department?,id name employee_id department_id sick_days month ,1
What is the name of the customer who spent the most money in the last quarter in a certain category?,id name customer_id category_id spending sale_date ,1
What is the name of the product with the lowest quantity in the inventory?,id name price quantity category ,1
What is the name of the department with the highest expenses in the last year?,id name department_id expenses year ,1
What is the name of the customer who purchased the most products in the last quarter?,id name customer_id product_id quantity price sale_date ,1
What is the name of the employee who has the most sales with a certain product in the last year?,id name employee_id product_id quantity price sale_date ,1
What is the name of the department with the highest profit in the last quarter?,id name department_id profit sale_date ,1
What is the name of the customer who spent the most money in a certain category in the last month?,id name customer_id category_id spending sale_date ,1
What is the name of the product with the highest quantity in the inventory?,id name price quantity category ,1
What is the name of the employee who has the most sales in the last year?,id name employee_id quantity price sale_date ,1
What is the name of the department with the lowest profit in the last year?,id name department_id profit year ,1
What is the total amount of sales in a certain category in the last quarter?,id category_id quantity price sale_date ,1
What is the name of the employee who has the most hours of work in a certain project in the last month?,id name employee_id project_id work_hours month ,1
What is the name of the customer who placed the largest order in a certain store in the last year?,id name customer_id store_id order_amount order_date ,1
What is the name of the employee who has the highest commission in a certain quarter?,id name employee_id commission quarter ,1
What is the name of the product with the highest customer rating in a certain category in the last month?,id name product_id category_id customer_rating month ,1
What is the name of the customer who has the most items in their shopping cart in a certain store?,id name customer_id store_id item_count cart_date ,1
What is the name of the employee who has the highest sales in a certain region in the last quarter?,id name employee_id region_id sales_amount sale_date ,1
What is the name of the customer who has the highest purchase frequency in a certain store in the last year?,id name customer_id store_id purchase_count purchase_date ,1
What is the name of the employee who has the most training hours in a certain department in the last month?,id name employee_id department_id training_hours month ,1
What is the name of the customer who made the most returns in a certain store in the last year?,id name customer_id store_id return_count return_date ,1
What is the name of the product with the highest profit margin in a certain category in the last quarter?,id name product_id category_id cost revenue sale_date ,1
What is the name of the customer who spent the most money in a certain category in the last month?,id name customer_id category_id spending month ,1
What is the name of the employee who has the highest productivity in a certain project in the last year?,id name employee_id project_id productivity year ,1
What is the name of the customer who made the most online purchases in a certain category in the last quarter?,id name customer_id category_id purchase_count purchase_date purchase_channel ,1
What is the name of the employee who has the highest customer satisfaction rating in a certain region in the last month?,id name employee_id region_id satisfaction_rating month ,1
What is the total sales revenue in a certain region in the last year?,id name region_id revenue year ,1
What is the name of the customer who has the highest number of purchases in a certain category in the last month?,id name customer_id category_id purchases month ,1
What is the name of the employee who has the highest number of completed tasks in a certain project in the last quarter?,id name employee_id project_id task_id status completion_date ,1
What is the name of the customer who has the most frequent purchases in a certain store in the last year?,id name customer_id store_id frequency sale_date ,1
What is the name of the employee who has the highest sales in a certain product category in the last quarter?,id name employee_id product_id category_id quantity price sale_date ,1
What is the name of the department with the highest number of employees in the company?,id name department_id employee_id ,1
What is the name of the employee who has the highest salary in a certain department in the last year?,id name employee_id salary hire_date department_id review_date ,1
What is the name of the product with the highest profit margin in the last month in a certain store?,id name product_id store_id cost price sale_date ,1
What is the name of the customer who has the most returns in a certain store in the last year?,id name customer_id store_id returns return_date ,1
What is the name of the employee who has the highest sales with a certain product in a certain region in the last quarter?,id name employee_id product_id quantity price region_id sale_date ,1
What is the name of the product with the highest demand in the last month in a certain region?,id name product_id region_id demand sale_date ,1
What is the name of the employee who has the most working hours in a certain project in the last quarter?,id name employee_id project_id working_hours quarter ,1
What is the name of the customer who has the highest loyalty points in a certain store in the last year?,id name customer_id store_id loyalty_points point_date ,1
What is the name of the department with the highest budget in the company?,id name department_id budget year ,1
What is the name of the employee who has the most training hours in a certain department in the last quarter?,id name employee_id department_id training_hours quarter ,1
What is the total sales of a certain product in the last quarter?,product_id quantity price sale_date ,1
Who are the top 10 customers in terms of total spending in the last year?,customer_id spending sale_date ,1
What is the average salary of employees in a certain department?,employee_id salary department_id ,1
What is the name of the customer who made the highest purchase in a certain store on a certain day?,customer_id store_id purchase_amount sale_date ,1
What is the highest rating received by a certain movie?,movie_id rating reviewer_id ,1
What is the name of the employee who sold the most products in the last month?,employee_id product_id quantity price sale_date ,1
What is the name of the customer who made the highest purchase in the last quarter in a certain category?,customer_id category_id purchase_amount sale_date ,1
What is the total revenue of a certain store in the last year?,store_id revenue sale_date ,1
Who are the top 5 employees in terms of sales in the last quarter?,employee_id product_id quantity price sale_date ,1
What is the name of the employee who has the highest number of completed tasks in a certain project?,employee_id project_id task_id completion_date ,1
What is the average rating of a certain product given by customers in the last month?,product_id rating customer_id sale_date ,1
Who are the top 3 customers who spent the most money on a certain day in a certain store?,customer_id store_id purchase_amount sale_date ,1
What is the name of the customer who made the highest purchase in a certain category in the last year?,customer_id category_id purchase_amount sale_date ,1
What is the name of the employee who has the highest number of sales in a certain product category in the last quarter?,employee_id product_id category_id quantity price sale_date ,1
What is the total revenue of a certain department in the last year?,department_id revenue sale_date ,1
Who are the top 5 customers in terms of total purchases in the last month?,customer_id store_id purchase_amount sale_date ,1
What is the name of the employee who has the highest number of completed tasks in the last month?,employee_id project_id task_id completion_date ,1
What is the average rating of a certain product given by customers in the last year?,product_id rating customer_id sale_date ,1
What is the price of the products in a certain category in the last week?,id name category_id price sale_date ,1
Who are the employees who work in a certain department?,id name employee_id department_id hire_date ,1
What is the name of the customer who has the most orders in a certain store in the last month?,id name customer_id store_id order_count month ,1
What is the name of the product that has the highest profit margin in the last quarter in a certain category?,id name product_id category_id cost price sale_date ,1
What is the name of the department that has the most employees?,id name department_id employee_count ,1
Who are the customers who have made purchases in a certain category in the last week?,id name customer_id category_id price sale_date ,1
What is the name of the employee who has the highest commission in the last month?,id name employee_id commission sale_date ,1
What is the name of the customer who has the most loyalty points in a certain store in the last year?,id name customer_id store_id loyalty_points year ,1
Who are the employees who have been promoted in a certain department in the last quarter?,id name employee_id department_id promotion_date ,1
What is the name of the product with the lowest inventory level in a certain category?,id name product_id category_id inventory_level restock_date ,1
What is the name of the customer who has the most returns in a certain store in the last month?,id name customer_id store_id return_count month ,1
Who are the employees who have attended a certain training program?,id name employee_id program_id attendance_date ,1
What is the name of the customer who has the highest average purchase amount in a certain category in the last quarter?,id name customer_id category_id purchase_amount sale_date ,1
What is the name of the employee who has the highest sales in a certain category in the last year?,id name employee_id category_id sales_amount sale_date ,1
Who are the customers who have made purchases in a certain store in the last week?,id name customer_id store_id price sale_date ,1
What is the name of the department that has the highest budget?,id name department_id budget ,1
What is the name of the employee who has the most vacation days in a certain department in the last year?,id name employee_id department_id vacation_days year ,1
What is the title of the book written by the author who won the Pulitzer Prize last year?,id title author_id year_published awards ,1
Who is the customer who made the most purchases in the last month?,id name customer_id product_id quantity price sale_date ,1
What is the name of the employee who has the highest salary in the company?,id name employee_id salary department_id hire_date ,1
What is the name of the supplier who provides the cheapest products in a certain category?,id name supplier_id product_id category_id price ,1
What is the name of the customer who has the most reward points in the loyalty program?,id name customer_id points ,1
Who is the employee who has the most vacation days left in a certain department?,id name employee_id department_id vacation_days ,1
What is the name of the company with the highest revenue in the last quarter?,id name company_id revenue quarter ,1
Who is the student who has the highest GPA in a certain major?,id name student_id major_id GPA ,1
What is the name of the patient who has the highest medical expenses in the hospital?,id name patient_id expenses ,1
What is the name of the artist who has the most popular songs on the music charts in the last month?,id name artist_id song_id chart_position month ,1
What is the name of the restaurant with the highest rating on the food delivery app in the last week?,id name restaurant_id rating week ,1
Who is the customer who has the most followers on social media?,id name customer_id followers ,1
What is the name of the movie director who won the most awards at the film festival last year?,id name director_id award_id year ,1
What is the name of the athlete who has the highest score in a certain sport in the last championship?,id name athlete_id sport_id score championship ,1
What is the name of the supplier who provides the highest quality products in a certain category?,id name supplier_id product_id category_id quality ,1
Who is the employee who has the most leadership experience in the company?,id name employee_id experience_years leadership_experience_years ,1
What is the name of the charity organization with the highest donation amount in the last year?,id name charity_id donation_amount year ,1
Who is the customer who has the most saved payment methods in the online shopping platform?,id name customer_id saved_payment_methods ,1
What is the name of the student who scored the highest grade in a certain subject in the last semester?,id name student_id subject_id grade semester ,1
What is the salary of the employee who has the most working experience in a certain department in the last year?,id name employee_id salary hire_date department_id review_date ,1
What is the name of the customer who has the highest spending in a certain category in the last month?,id name customer_id category_id spending month ,1
What is the name of the employee who has the highest sales with a certain product in a certain city in the last quarter?,id name employee_id product_id quantity price city sale_date ,1
What is the name of the product with the highest sales in the last month in a certain category?,id name product_id category_id quantity price sale_date ,1
What is the name of the customer who made the most purchases in a certain store in the last year?,id name customer_id store_id purchases sale_date ,1
What is the name of the employee who has the highest sales with a certain product in the last quarter in a certain store?,id name employee_id product_id quantity price store_id sale_date ,1
What is the name of the department with the highest revenue in the last year?,id name department_id revenue sale_date ,1
What is the name of the customer who made the most purchases with a certain product in the last quarter in a certain store?,id name customer_id product_id quantity price store_id sale_date ,1
What is the name of the employee who has the most overtime hours in a certain department in the last month?,id name employee_id department_id overtime_hours month ,1
What is the name of the customer who spent the most money in a certain store in the last year?,id name customer_id store_id spending sale_date ,1
What is the name of the product with the lowest sales in the last quarter in a certain category?,id name product_id category_id quantity price sale_date ,1
What is the name of the employee who has the highest sales with a certain product in the last month in a certain store?,id name employee_id product_id quantity price store_id sale_date ,1
What is the name of the customer who made the most purchases with a certain product in the last year in a certain store?,id name customer_id product_id quantity price store_id sale_date ,1
What is the name of the employee who has the most sick days in a certain department in the last year?,id name employee_id department_id sick_days year ,1
What is the total revenue earned by the company in the last quarter?,id name revenue quarter ,1
What is the address of the customer who made the most purchases in the last year?,id name customer_id address purchases sale_date ,1
What is the name of the product with the highest rating in a certain category in the last month?,id name product_id category_id rating sale_date ,1
What is the name of the employee who has the highest sales in a certain region in the last year?,id name employee_id region_id sales sale_date ,1
What is the name of the supplier with the highest number of deliveries in the last quarter?,id name supplier_id deliveries quarter ,1
What is the name of the customer who made the most purchases with a certain product in the last month?,id name customer_id product_id purchases sale_date ,1
What is the name of the employee who has the highest commission in the last quarter?,id name employee_id commission quarter ,1
What is the name of the customer who has the highest loyalty points in the last year?,id name customer_id loyalty_points year ,1
What is the name of the product with the lowest rating in the last quarter in a certain category?,id name product_id category_id rating sale_date ,1
What is the name of the employee who has the most sick days in the last year in a certain department?,id name employee_id department_id sick_days year ,1
What is the name of the customer who spent the most money in a certain category in the last month?,id name customer_id category_id spending sale_date ,1
What is the name of the product with the highest sales in a certain region in the last quarter?,id name product_id region_id sales sale_date ,1
What is the name of the supplier with the highest revenue in the last year?,id name supplier_id revenue year ,1
